Constituency,District,Province,Candidate,Party,Votes,Rank
NA-1,Peshawar,KPK,Imran Khan,PTI,90434,1
NA-1,Peshawar,KPK,Alhaj Ghulam Ahmad Bilour,ANP,24449,2
NA-1,Peshawar,KPK,Muhammad Zulfiqar Afghani,PPP,7116,3
NA-1,Peshawar,KPK,Shabir Ahmad Khan,JI,7034,4
NA-1,Peshawar,KPK,Hazrat Muhammad alias Babo Maavia,MDM,4825,5
NA-1,Peshawar,KPK,Haji Shah Nawaz,JUI-F,4729,6
NA-1,Peshawar,KPK,Muhammad Afzal Khan Panyala,PML-N,4230,7
NA-1,Peshawar,KPK,Jan Alam Khan Paracha,QWP,1964,8
NA-1,Peshawar,KPK,Amir Syed,PPP-SB,454,9
NA-1,Peshawar,KPK,Pir Abdur Rehman,Independent,265,10
NA-1,Peshawar,KPK,Akram Khan,Independent,182,11
NA-1,Peshawar,KPK,Bashir Ahmad Afridi,MQM,117,12
NA-1,Peshawar,KPK,Syed Muhammad Sibtain Taj Agha,JUP-N,100,13
NA-1,Peshawar,KPK,Aamir Shehzad Hashmi,MP,77,14
NA-1,Peshawar,KPK,Khalid Tanveer Rohela Advocate,PML-J,70,15
NA-1,Peshawar,KPK,Hidayatullah Khan Afridi Advocate,Independent,61,16
NA-1,Peshawar,KPK,Tariq Saeed,PHRP,45,17
NA-1,Peshawar,KPK,Moeen ud Din,JUI-N,42,18
NA-2,Peshawar,KPK,Hamid ul Haq,PTI,79125,1
NA-2,Peshawar,KPK,Moulana Muhammad Saeed Jan,JUI-F,18787,2
NA-2,Peshawar,KPK,Arbab Najeeb Ullah Khan,ANP,12137,3
NA-2,Peshawar,KPK,Arbab Aalamgir Khan,PPP-P,10666,4
NA-2,Peshawar,KPK,Doctor Muhammad Iqbal Khalil,JI,8020,5
NA-2,Peshawar,KPK,Abdul Bari,PML-N,5159,6
NA-2,Peshawar,KPK,Qazi Saif Ullah Khan,MDM,3477,7
NA-2,Peshawar,KPK,Malik Haider Khan,QWP,2242,8
NA-2,Peshawar,KPK,Intizar Ali Khan Khalil,Independent,577,9
NA-2,Peshawar,KPK,Ishaq Hussain,Independent,448,10
NA-2,Peshawar,KPK,Muhammad Atiq ur Rehman,Independent,419,11
NA-2,Peshawar,KPK,Saleem Khan,Independent,275,12
NA-2,Peshawar,KPK,Iqtidar Ahmad Afridi,Independent,263,13
NA-2,Peshawar,KPK,Khadim Hussain Khalil,Independent,162,14
NA-2,Peshawar,KPK,Muhammad Ibrahim Khalil,Independent,156,15
NA-2,Peshawar,KPK,Aasir Sheraz,Independent,61,16
NA-2,Peshawar,KPK,Safeer Ullah Khalil,Independent,57,17
NA-3,Peshawar,KPK,Sajid Nawaz,PTI,67214,1
NA-3,Peshawar,KPK,Haji Ghulam Ali,JUI-F,27987,2
NA-3,Peshawar,KPK,Engineer Iqbal Zafar Jhagra,PMl-N,22370,3
NA-3,Peshawar,KPK,Noor Alam Khan,PPP,22045,4
NA-3,Peshawar,KPK,Israr Ullah Advocate,JI,11954,5
NA-3,Peshawar,KPK,Muhammad Hasham Babar,Independent,6449,6
NA-3,Peshawar,KPK,Arbab Inam Ullah Khan,ANP,5902,7
NA-3,Peshawar,KPK,Muhammad Zaman,QWP,2257,8
NA-3,Peshawar,KPK,Aman Ullah Khan Kanriza,TTP,1965,9
NA-3,Peshawar,KPK,Sardar Ali,Independent,885,10
NA-3,Peshawar,KPK,Fiza Tariq,Independent,680,11
NA-3,Peshawar,KPK,Tabana,Independent,501,12
NA-3,Peshawar,KPK,Malik Javed Khan,MQM,489,13
NA-3,Peshawar,KPK,Doctor Malik Shoukat Ali Khan,PML-Q,455,14
NA-3,Peshawar,KPK,Muhammad Fayyaz Khan,Independent,438,15
NA-3,Peshawar,KPK,Umar Said Khan,Independent,270,16
NA-3,Peshawar,KPK,Malik Firdos Khan,Independent,260,17
NA-4,Peshawar,KPK,Gulzar Khan,PTI,55134,1
NA-4,Peshawar,KPK,Nasir Khan Mosazai,PML-N,20412,2
NA-4,Peshawar,KPK,Sabir Hussain Awan,JI,16493,3
NA-4,Peshawar,KPK,Arbab Muhammad Ayub Jan,ANP,15795,4
NA-4,Peshawar,KPK,Arbab Kamal Ahmad,JUI-F,12519,5
NA-4,Peshawar,KPK,Misbah ud Din,PPP,12031,6
NA-4,Peshawar,KPK,Aneela Shaheen,Independent,1852,7
NA-4,Peshawar,KPK,Gul Wazir Shaheen,MDM,1519,8
NA-4,Peshawar,KPK,Molana Miraj ud Din Sirkani,JUP-N,1165,9
NA-4,Peshawar,KPK,Mian Abdul Latif,QWP,757,10
NA-4,Peshawar,KPK,Syed Hizar Amin Shah,Independent,392,11
NA-4,Peshawar,KPK,Faiz Muhammad,MQM,261,12
NA-4,Peshawar,KPK,Shaukat Ali Momand,Independent,222,13
NA-5,Nowshera,KPK,Pervez Khattak,PTI,69873,1
NA-5,Nowshera,KPK,Muhammad Daud Khattak,ANP,21185,2
NA-5,Nowshera,KPK,Asif Luqman Qazi,JI,19789,3
NA-5,Nowshera,KPK,Mufti Muhammad Sajjad,JUI-F,14110,4
NA-5,Nowshera,KPK,Pir Zada Nabi Amin,PML-N,11603,5
NA-5,Nowshera,KPK,Engineer Muhammad Tariq Khattak,PPP,10144,6
NA-5,Nowshera,KPK,Shahzad Ali Khan,Independent,5526,7
NA-5,Nowshera,KPK,Aziz ud Din Kaka Khel,Independent,982,8
NA-5,Nowshera,KPK,Amjid Hussain,Independent,921,9
NA-5,Nowshera,KPK,Gul Zali Khan,TTP,862,10
NA-5,Nowshera,KPK,Iran Bacha,PPM,483,11
NA-6,Nowshera,KPK,Siraj Muhammad Khan,PTI,54266,1
NA-6,Nowshera,KPK,Syed Zulfiqar Ali Shah,PML-N,34537,2
NA-6,Nowshera,KPK,Masood Abbas Khattak,ANP,20316,3
NA-6,Nowshera,KPK,Molana Hamid ul Haq Haqqani,MDM,11110,4
NA-6,Nowshera,KPK,Major (R) Liaqat Ali Shah Gailani,PPP,5121,5
NA-6,Nowshera,KPK,Amin Akber,Independent,3983,6
NA-6,Nowshera,KPK,Mian Shahenshah,Independent,3207,7
