Province,District,Headquarters,Area,Population (2017),Density,Division
Balochistan,Awaran,Awaran,"29,510","956,011",4,Kalat
Balochistan,Barkhan,Barkhan,"3,514","171,556",48.8,Loralai
Balochistan,Chaghi,Dalbandin,"44,748","226,008",5,Rakhshan
Balochistan,Chaman,Chaman,,,,Quetta
Balochistan,Dera Bugti,Dera Bugti,"10,160","1,500,603",31,Sibi
Balochistan,Duki,Duki,,"153,000",,Loralai
Balochistan,Gwadar,Gwadar,"12,637","4,500,514",21,Makran
Balochistan,Harnai,Harnai,"4,096","97,017",24,Sibi
Balochistan,Hub,Hub,"6,716","339,640",51,Kalat
Balochistan,Jaffarabad,Dera Allahyar,"2,445","513,813",210,Nasirabad
Balochistan,Jhal Magsi,Gandava,"3,615","149,225",41,Nasirabad
Balochistan,Kachhi,Dhadar,"7,499","237,030",32,Nasirabad
Balochistan,Kalat,Kalat,"6,622","412,232",62,Kalat
Balochistan,Kech,Turbat,"22,539","909,116",40,Makran
Balochistan,Kharan,Kharan,"8,958","156,152",17,Rakhshan
Balochistan,Khuzdar,Khuzdar,"35,380","802,207",23,Kalat
Balochistan,Kohlu,Kohlu,"7,610","214,350",28,Sibi
Balochistan,Lasbela,Uthal,"15,153","574,292",38,Kalat
Balochistan,Loralai,Loralai,"9,830","397,400",40,Loralai
Balochistan,Mastung,Mastung,"5,896","266,461",45,Kalat
Balochistan,Musakhel,Musa Khel Bazar,"5,728","167,017",29,Loralai
Balochistan,Nasirabad,Dera Murad Jamali,"3,387","490,538",145,Nasirabad
Balochistan,Nushki,Nushki,"5,797","178,796",31,Rakhshan
Balochistan,Panjgur,Panjgur,"16,891","316,385",19,Makran
Balochistan,Pishin,Pishin,"7,819","736,481",94,Quetta
Balochistan,Quetta,Quetta,"2,653","2,275,699",858,Quetta
Balochistan,Killa Abdullah,Jungle Pir Alizai,"3,293","757,578",230,Quetta
Balochistan,Killa Saifullah,Qilla Saifullah,"6,831","342,814",50,Zhob
Balochistan,Sherani,Sherani,"2,800","153,116",55,Zhob
Balochistan,Sibi,Sibi,"7,796","135,572",17,Sibi
Balochistan,Sohbatpur,Sohbatpur,"1,412","200,538",142,Nasirabad
Balochistan,Surab,Surab, , , ,Kalat
Balochistan,Washuk,Washuk,"29,510","176,206",6,Rakhshan
Balochistan,Zhob,Zhob,"20,297","310,544",15,Zhob
Balochistan,Ziarat,Ziarat,"1,489","160,422",108,Kalat
Khyber Pakhtunkhwa,Abbottabad,Abbottabad,"1,967","1,332,912",785,Hazara
Khyber Pakhtunkhwa,Bajaur Agency,Khar,"1,290","1,093,684",848,Malakand
Khyber Pakhtunkhwa,Bannu,Bannu,"1,227","1,167,892",952,Bannu
Khyber Pakhtunkhwa,Batagram,Battagram,"1,301","476,612",366,Hazara
Khyber Pakhtunkhwa,Buner,Daggar,"1,865","897,319",481,Malakand
Khyber Pakhtunkhwa,Charsadda,Charsadda,996,"1,616,198","1,623",Peshawar
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan,"7,326","1,627,132",222,Dera Ismail Khan
Khyber Pakhtunkhwa,Hangu,Hangu,"1,097","518,798",473,Kohat
Khyber Pakhtunkhwa,Haripur,Haripur,"1,725","1,003,031",581,Hazara
Khyber Pakhtunkhwa,Karak,Karak,"3,372","706,299",209,Kohat
Khyber Pakhtunkhwa,Khyber Agency,Landi Kotal,"2,576","986,973",383,Peshawar
Khyber Pakhtunkhwa,Kohat,Kohat,"2,545","993,874",390,Kohat
Khyber Pakhtunkhwa,Kurram Agency,Parachinar,"3,380","619,553",201,Kohat
Khyber Pakhtunkhwa,Kolai Palas,Kolai, , , ,Hazara
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,"3,164","876,182",277,Bannu
Khyber Pakhtunkhwa,Lower Dir,Timergara,"1,582","1,435,917",908,Malakand
Khyber Pakhtunkhwa,Lower Kohistan,Pattan,"7,492","784,711",105,Hazara
Khyber Pakhtunkhwa,Lower Chitral,Chitral,"7,492","784,711",105,Malakand
Khyber Pakhtunkhwa,Malakand,Batkhela,952,"720,295",757,Malakand
Khyber Pakhtunkhwa,Mansehra,Mansehra,"4,579","1,556,460",340,Hazara
Khyber Pakhtunkhwa,Mardan,Mardan,"1,632","2,373,061","1,454",Mardan
